emp_no,birth_date
39298,1953-05-02
39304,1954-05-17
39316,1953-03-29
39321,1952-06-20
39323,1955-03-14
39331,1952-03-07
39333,1955-04-29
39337,1953-09-23
39338,1952-07-06
39361,1955-06-23
39363,1952-11-13
39366,1953-09-06
39368,1952-05-26
39374,1953-08-16
39375,1955-08-27
39387,1953-12-30
39394,1952-10-23
39405,1953-04-25
39409,1953-01-16
39416,1954-04-16
39419,1953-11-05
39422,1953-04-24
39423,1953-02-17
39426,1952-10-13
39429,1953-11-28
39431,1952-05-28
39433,1953-06-25
39443,1952-06-13
39444,1954-09-20
39445,1954-03-28
39453,1952-06-18
39462,1952-03-10
39468,1954-10-13
39474,1952-09-12
39477,1953-06-28
39480,1954-10-19
39486,1954-06-27
39495,1953-04-02
39497,1952-10-21
39501,1955-01-16
39505,1954-03-20
39506,1952-10-29
39507,1952-04-12
39518,1953-12-03
39523,1955-06-08
39526,1952-07-14
39529,1954-11-08
39533,1954-01-31
39534,1954-06-20
39537,1953-07-04
39538,1952-10-07
39543,1952-11-28
39547,1953-04-04
39571,1953-05-04
39587,1952-06-20
39589,1954-11-23
39593,1955-10-14
39595,1955-05-06
39599,1954-01-31
39600,1953-06-24
39603,1954-03-04
39609,1952-09-26
39612,1952-08-22
39624,1954-11-08
39630,1955-02-16
39631,1952-03-26
39636,1955-04-17
39640,1955-12-06
39644,1952-09-17
39646,1955-08-02
39647,1953-01-01
39648,1953-11-23
39652,1952-03-13
39654,1955-11-06
39656,1954-12-21
39657,1953-04-07
39658,1952-08-01
39669,1954-05-12
39671,1952-03-02
39674,1952-11-16
39675,1952-09-08
39678,1953-02-08
39683,1954-08-18
39684,1954-02-22
39689,1955-07-14
39693,1954-08-17
39697,1955-06-23
39704,1955-10-27
39705,1955-04-21
39706,1954-05-25
39712,1953-05-12
39717,1953-10-25
39719,1955-05-02
39721,1955-10-25
39724,1952-07-02
39729,1953-08-31
39730,1952-02-21
39735,1952-07-20
39738,1953-10-11
39743,1955-02-02
39747,1955-02-23
39749,1952-05-11
39753,1952-08-14
39756,1953-07-11
39759,1954-06-04
39777,1953-03-21
39780,1953-08-21
39783,1954-06-23
39784,1955-04-23
39787,1953-04-20
39793,1953-12-30
39801,1954-01-26
39804,1955-08-30
39806,1955-01-12
39809,1952-12-03
39810,1953-09-16
39812,1955-02-07
39820,1952-07-03
39821,1952-02-25
39840,1954-12-28
39846,1954-10-02
39852,1954-10-12
39853,1952-05-26
39854,1953-05-14
39858,1953-01-31
39861,1953-10-08
39866,1952-03-14
39868,1955-09-05
39870,1954-01-27
39873,1955-11-04
39875,1954-04-12
39876,1955-08-18
39880,1952-12-16
39883,1955-02-19
39884,1954-12-07
39889,1954-06-28
39890,1952-11-14
39895,1952-07-15
39900,1952-08-09
39908,1954-06-14
39909,1953-06-19
39915,1952-06-08
39917,1952-10-10
39918,1953-10-10
39925,1952-11-12
39930,1952-08-29
39940,1955-04-27
39941,1955-09-27
39946,1952-05-05
39949,1954-05-20
39955,1955-11-11
39959,1954-02-21
39966,1954-02-28
39967,1954-10-17
39969,1955-10-15
39970,1954-08-03
39971,1953-05-19
39979,1955-10-01
39981,1955-03-25
39984,1954-03-04
39985,1952-11-12
39988,1952-10-20
39989,1952-06-30
39990,1953-11-09
39992,1953-10-26
39995,1954-11-09
40000,1953-12-17
40008,1955-02-21
40010,1952-08-22
40012,1955-02-07
40014,1954-01-15
40018,1955-10-28
40019,1953-10-15
40021,1955-03-08
40022,1955-04-11
40023,1955-01-11
40026,1954-07-27
40028,1954-03-24
40029,1953-02-04
40035,1953-04-29
40041,1955-12-17
40045,1952-12-22
40052,1954-12-13
40057,1952-09-28
40072,1952-07-20
40073,1952-07-21
40075,1955-01-18
40087,1952-11-27
40096,1955-06-20
40103,1953-07-20
40106,1954-05-30
40113,1952-03-23
40118,1953-05-05
40122,1955-10-21
40127,1955-03-19
40129,1952-12-13
40131,1955-08-26
40134,1953-02-25
40137,1952-06-07
40144,1952-10-21
40147,1955-04-07
40150,1952-05-05
40156,1953-05-28
40161,1955-06-26
40165,1952-02-08
40168,1954-01-29
40169,1955-01-15
40174,1955-05-04
40182,1955-04-11
40185,1953-07-06
40188,1953-03-24
40196,1953-01-21
40203,1952-06-21
40204,1952-10-28
40205,1955-03-17
40217,1955-12-10
40225,1955-08-25
40226,1954-02-20
40231,1953-08-16
40238,1953-04-12
40240,1953-03-03
40244,1953-01-16
40245,1955-04-14
40246,1955-04-21
40250,1952-10-31
40256,1954-08-26
40260,1955-09-30
40262,1952-09-20
40272,1953-12-08
40273,1955-02-07
40274,1955-08-10
40279,1954-04-25
40286,1955-06-07
40294,1955-03-23
40313,1952-03-04
40315,1954-06-30
40317,1954-08-05
40318,1953-01-09
40319,1953-02-15
40321,1952-07-31
40322,1955-07-24
40325,1954-03-11
40329,1952-08-04
40331,1953-10-30
40335,1952-08-13
40347,1955-04-25
40360,1955-07-09
40362,1954-06-01
40364,1955-06-20
40368,1952-12-16
40373,1955-11-28
40379,1952-03-21
40389,1953-01-07
40391,1954-07-14
40392,1952-10-27
40393,1953-10-24
40394,1955-07-27
40396,1955-11-11
40398,1952-11-25
40400,1955-08-28
40402,1955-09-30
40407,1952-09-25
40416,1955-09-12
40419,1952-06-17
40423,1954-07-16
40424,1953-05-08
40427,1953-06-16
40428,1955-07-07
40437,1954-04-17
40447,1953-06-01
40454,1953-04-21
40456,1955-10-08
40459,1953-07-15
40462,1952-12-14
40463,1954-02-10
40465,1952-02-05
40466,1953-06-13
40469,1952-09-10
40471,1954-10-16
40474,1954-06-19
40479,1952-04-13
40480,1954-07-08
40484,1955-07-05
40486,1954-03-20
40487,1953-12-03
40489,1954-03-17
40491,1953-07-27
40494,1954-02-05
40500,1954-04-16
40503,1952-04-24
40506,1955-09-04
40510,1954-07-06
40511,1952-04-18
40512,1955-08-14
40517,1952-03-05
40520,1952-09-21
40522,1954-05-22
40523,1955-07-29
40528,1955-05-15
40531,1954-07-31
40533,1955-05-17
40551,1954-04-10
40555,1954-06-18
40556,1955-07-17
40563,1954-02-01
40566,1953-11-14
40568,1955-04-08
40569,1952-07-23
40570,1955-09-02
40574,1955-01-18
40576,1955-07-12
40584,1954-09-19
40587,1952-06-02
40588,1953-03-24
40591,1955-12-14
40592,1954-04-16
40593,1955-05-12
40595,1952-09-04
40597,1952-11-02
40599,1953-06-17
40600,1954-01-07
40604,1954-01-20
40608,1955-11-12
40615,1952-07-15
40616,1955-12-08
40624,1952-09-17
40627,1955-06-20
40631,1955-04-26
40635,1953-06-10
40641,1955-02-21
40647,1953-05-09
40654,1953-10-30
40660,1952-02-02
40661,1953-10-31
40668,1955-10-19
40672,1955-08-26
40679,1954-07-12
40685,1954-05-22
40696,1953-11-29
40704,1952-07-11
40714,1952-04-01
40730,1955-10-06
40737,1954-02-24
40738,1955-12-11
40739,1955-09-01
40743,1953-05-17
40744,1953-09-09
40746,1952-09-12
40752,1953-04-28
40758,1952-10-05
40762,1952-04-10
40764,1952-07-29
40766,1955-10-03
40768,1953-01-21
40769,1954-11-16
40770,1953-05-04
40775,1955-09-28
40776,1953-11-15
40777,1953-07-24
40778,1953-06-12
40779,1954-05-07
40781,1952-08-30
40782,1954-06-10
40786,1952-11-29
40791,1952-12-31
40796,1953-11-29
40800,1953-07-26
40802,1955-07-08
40803,1952-05-25
40806,1955-03-28
40810,1952-05-01
40813,1953-06-09
40815,1955-02-16
40824,1955-04-18
40825,1955-12-05
40826,1954-07-12
40829,1955-03-05
40834,1953-09-28
40839,1953-10-13
40841,1954-04-05
40844,1954-04-15
40848,1953-10-05
40853,1952-04-04
40855,1954-09-21
40859,1954-09-21
40867,1955-05-09
40868,1952-04-30
40869,1954-02-14
40871,1955-08-11
40872,1952-05-17
40878,1954-12-28
40881,1953-12-28
40883,1952-09-01
40891,1953-12-21
40896,1953-05-10
40897,1955-10-02
40901,1954-10-16
40904,1954-11-30
40907,1954-09-17
40910,1954-10-22
40911,1955-07-06
40922,1953-07-16
40924,1955-04-23
40927,1955-02-26
40928,1955-08-13
40932,1952-08-26
40938,1955-01-24
40943,1955-01-29
40944,1952-12-26
40946,1952-11-29
40947,1954-12-20
40950,1953-04-04
40952,1952-06-29
40955,1955-11-07
40961,1953-12-25
40966,1952-11-17
40977,1954-01-13
40979,1955-09-30
40985,1952-02-06
40987,1953-09-03
40989,1953-08-26
40994,1954-04-27
40995,1953-02-23
40997,1953-06-15
41002,1954-10-11
41011,1953-05-25
41020,1954-09-29
41037,1952-08-30
41038,1955-03-16
41039,1953-04-23
41040,1955-10-19
41043,1952-09-24
41046,1955-09-28
41047,1954-08-14
41061,1952-06-20
41065,1952-07-28
41067,1955-10-28
41074,1953-10-10
41077,1952-12-14
41081,1953-02-16
41086,1955-04-05
41089,1953-09-07
41097,1955-07-01
41106,1952-09-15
41110,1955-01-31
41111,1952-11-02
41122,1952-12-10
41123,1952-11-01
41128,1955-01-14
41140,1952-10-04
41142,1953-01-24
41143,1953-07-20
41147,1954-04-26
41149,1953-09-18
41159,1955-06-14
41168,1954-01-16
41169,1955-03-06
41173,1953-08-06
41174,1953-10-28
41177,1954-05-18
41179,1954-02-11
41181,1952-03-09
41184,1955-10-10
41187,1955-12-27
41196,1952-10-09
41197,1954-03-24
41198,1952-12-05
41200,1952-06-17
41205,1955-09-21
41206,1954-10-31
41213,1954-03-22
41215,1952-02-21
41216,1955-01-13
41228,1954-10-07
41230,1955-09-13
41232,1954-05-13
41239,1955-04-09
41240,1954-12-29
41244,1954-06-30
41247,1955-03-25
41248,1955-06-13
41250,1953-02-06
41251,1952-06-02
41274,1954-08-18
41279,1953-08-09
41280,1952-05-24
41283,1954-11-20
41290,1953-05-03
41292,1953-09-07
41293,1954-01-20
41298,1955-06-17
41299,1955-05-19
41301,1952-05-03
41304,1952-11-30
41312,1954-10-16
41313,1954-02-26
41319,1952-06-23
41326,1954-01-24
41332,1954-09-20
41335,1952-05-24
41343,1955-12-12
41350,1953-12-09
41351,1952-09-29
41363,1953-07-26
41369,1955-05-04
41370,1954-09-15
41371,1954-06-18
41373,1953-08-04
41374,1952-02-03
41375,1953-12-29
41377,1955-12-05
41386,1955-04-23
41399,1954-12-17
41403,1953-07-22
41404,1952-02-08
41406,1954-02-10
41415,1954-06-05
41416,1952-05-23
41422,1952-07-20
41425,1954-04-18
41427,1953-10-26
41432,1954-01-14
41434,1955-09-13
41437,1952-09-03
41441,1953-10-03
41445,1955-12-31
41451,1952-07-31
41460,1952-07-03
41465,1955-06-24
41466,1955-07-30
41477,1954-02-10
41485,1954-07-15
41487,1954-05-18
41497,1953-07-05
41498,1952-09-18
41501,1952-07-02
41507,1953-05-28
41508,1953-01-18
41514,1953-04-07
41521,1955-03-01
41527,1953-12-13
41533,1955-05-20
41534,1955-11-11
41545,1953-09-29
41549,1955-06-15
41553,1953-10-11
41554,1952-10-20
41558,1952-09-15
41572,1955-11-04
41573,1953-03-15
41575,1954-04-05
41577,1954-04-12
41581,1952-04-19
41583,1953-03-31
41587,1954-03-30
41588,1954-01-05
41593,1953-08-03
41603,1954-05-15
41604,1954-01-14
41608,1952-06-26
41610,1954-12-12
41612,1954-10-29
41628,1953-08-16
41634,1954-08-25
41636,1953-01-06
41638,1954-06-09
41641,1952-04-06
41644,1953-11-05
41653,1954-02-20
41654,1954-12-17
41658,1954-08-24
41660,1952-04-10
41661,1953-02-27
41667,1953-12-23
41671,1953-04-10
41673,1953-01-04
41674,1954-01-14
41677,1952-09-18
41682,1953-03-30
41685,1952-07-27
41690,1954-09-02
41702,1953-10-19
41703,1953-03-08
41706,1952-05-02
41710,1954-07-25
41716,1952-06-15
41724,1955-01-27
41727,1952-12-28
41734,1954-07-12
41740,1952-06-10
41743,1952-06-03
41746,1953-02-25
41751,1955-08-05
41754,1953-02-16
41756,1955-06-01
41757,1955-05-10
41759,1953-02-01
41763,1954-08-11
41764,1955-01-14
41767,1952-07-17
41770,1954-10-02
41772,1954-03-17
41778,1954-02-20
41786,1952-08-30
41792,1952-04-12
41793,1953-05-16
41798,1955-01-28
41807,1953-04-23
41808,1954-08-11
41809,1953-12-25
41814,1953-05-20
41819,1953-01-02
41820,1952-12-24
41824,1954-09-18
41826,1955-06-05
41830,1955-06-25
41835,1953-09-22
41836,1954-11-26
41837,1954-05-08
41840,1953-05-30
41845,1955-02-12
41857,1953-04-27
41863,1952-03-03
41864,1953-01-16
41866,1955-05-09
41867,1955-09-10
41869,1953-09-20
41871,1952-09-29
41874,1954-03-31
41878,1954-11-10
41883,1955-12-03
41885,1952-10-10
41888,1953-11-11
41889,1952-08-09
41891,1955-07-23
41894,1954-10-31
41902,1955-11-17
41907,1955-07-31
41908,1955-11-05
41909,1954-10-05
41910,1954-05-31
41913,1954-07-14
41917,1953-06-19
41918,1955-04-19
41919,1954-10-10
41928,1954-09-04
41933,1955-02-10
41935,1954-07-04
41939,1953-02-20
41940,1952-07-25
41941,1953-01-30
41943,1953-09-26
41944,1953-05-03
41955,1953-07-27
41956,1954-07-18
41960,1955-11-22
41962,1955-12-07
41964,1955-09-04
41966,1953-01-07
41968,1953-09-30
41971,1954-07-05
41973,1955-08-16
41977,1952-12-24
41979,1954-08-26
41980,1955-02-14
41981,1952-03-21
41983,1952-07-27
41993,1952-12-31
41997,1952-09-07
42002,1955-11-18
42004,1955-08-19
42007,1953-12-30
42015,1954-11-26
42016,1955-02-02
42019,1953-02-12
42020,1954-09-25
42021,1952-02-18
42024,1953-06-03
42026,1952-10-13
42027,1953-03-30
42033,1953-12-22
42036,1954-01-11
42038,1955-11-12
42042,1954-05-18
42045,1954-01-08
42046,1952-03-25
42047,1954-06-28
42053,1952-09-22
42058,1953-11-19
42059,1954-07-25
42074,1955-02-02
42075,1954-07-18
42080,1955-08-18
42082,1955-11-03
42083,1955-02-11
42089,1954-10-21
42097,1954-12-08
42100,1955-05-17
42103,1954-10-24
42104,1955-12-08
42107,1955-05-07
42112,1954-04-04
42116,1955-05-25
42118,1953-12-31
42121,1952-11-14
42125,1955-03-18
42128,1955-11-05
42131,1954-03-07
42135,1955-12-14
42139,1952-04-26
42140,1954-10-19
42142,1952-02-11
42149,1955-07-18
42153,1952-07-29
42159,1955-12-12
42173,1953-11-08
42174,1955-08-13
42181,1955-07-01
42184,1953-09-25
42185,1952-02-22
42188,1955-01-04
42191,1954-04-14
42194,1952-07-31
42196,1954-12-07
42199,1952-05-02
42202,1952-07-17
42209,1954-06-01
42218,1954-09-07
42219,1955-04-29
42221,1952-11-02
42223,1955-01-10
42233,1954-12-13
42241,1954-02-07
42243,1954-05-09
42248,1955-10-16
42249,1954-04-20
42254,1952-08-06
42255,1954-10-15
42260,1955-10-20
42268,1952-02-17
42269,1954-05-26
42271,1953-11-02
42273,1953-12-16
42274,1952-09-19
42277,1954-05-31
42287,1954-09-07
42289,1953-06-10
42291,1952-10-20
42292,1955-05-30
42297,1954-04-23
42298,1955-05-27
42301,1952-06-18
42304,1955-07-30
42305,1955-06-01
42309,1954-10-18
42318,1955-09-05
42325,1954-10-08
42327,1953-11-11
42330,1953-03-29
42341,1954-09-05
42352,1954-01-13
42358,1952-02-14
42359,1955-08-15
42360,1955-11-24
42361,1953-06-26
42366,1955-11-14
42368,1954-04-06
42371,1952-08-21
42377,1953-05-27
42378,1954-06-02
42380,1952-10-06
42387,1955-12-04
42389,1955-03-03
42393,1954-02-26
42398,1952-03-22
42400,1954-07-03
42402,1953-12-25
42405,1952-09-14
42410,1955-01-21
42419,1952-08-16
42424,1953-04-01
42425,1952-11-24
42426,1952-05-25
42429,1954-10-02
42434,1952-06-22
42437,1955-04-29
42444,1954-02-03
42460,1955-03-29
42465,1953-03-30
42466,1952-04-28
42468,1954-01-16
42469,1954-11-20
42471,1955-03-06
42478,1952-08-21
42484,1954-02-14
42488,1954-09-24
42498,1953-04-06
42499,1953-02-19
42500,1953-09-03
42504,1954-06-20
42509,1953-03-13
42524,1952-08-09
42527,1952-08-17
42534,1954-04-21
42540,1955-12-24
42541,1954-09-07
42544,1952-10-22
42549,1955-01-24
42553,1955-03-24
42560,1955-10-27
42566,1955-02-09
42571,1955-03-12
42580,1955-04-11
42583,1955-11-15
42587,1954-01-30
42590,1953-03-17
42591,1955-10-22
42605,1955-08-27
42606,1955-05-10
42614,1954-12-11
42615,1952-09-11
42616,1955-05-12
42617,1953-12-26
42623,1955-04-13
42627,1953-02-03
42628,1952-03-30
42642,1952-03-28
42650,1955-10-06
42654,1953-10-08
42655,1952-09-09
42657,1953-08-01
42663,1952-10-30
42672,1954-07-04
42680,1952-02-09
42681,1953-08-14
42684,1954-11-01
42686,1953-10-13
42694,1953-05-15
42701,1954-07-09
42708,1954-04-15
42713,1955-09-24
42714,1953-11-15
42716,1955-06-20
42717,1953-04-11
42733,1952-07-31
42746,1952-10-23
42752,1954-08-02
42753,1954-08-05
42756,1955-05-07
42764,1954-09-09
42765,1952-11-25
42773,1952-02-23
42775,1952-08-25
42780,1952-12-19
42781,1954-05-11
42786,1953-05-31
42788,1952-05-20
42799,1955-11-09
42812,1953-09-27
42814,1955-07-13
42817,1952-10-29
42818,1955-06-01
42821,1953-04-17
42823,1954-11-28
42824,1953-09-03
42828,1953-08-04
42830,1955-01-04
42838,1955-01-19
42839,1955-01-03
42841,1954-10-08
42846,1952-08-12
42850,1955-05-19
42856,1954-06-06
42857,1952-03-16
42865,1954-09-18
42866,1954-11-14
42870,1954-10-08
42872,1954-09-22
42881,1952-11-13
42886,1954-12-24
42889,1954-08-04
42890,1953-06-22
42892,1954-02-16
42894,1953-08-19
42903,1953-02-13
42912,1953-09-08
42914,1955-12-30
42916,1954-06-02
42919,1952-05-12
42925,1955-10-27
42927,1953-08-12
42929,1953-11-18
42930,1954-06-29
42931,1952-07-30
42933,1954-09-03
42936,1952-04-29
42939,1955-03-22
42942,1952-10-11
42944,1955-02-07
42948,1952-04-14
42949,1954-05-30
42953,1952-02-13
42970,1954-09-06
42973,1954-03-22
42981,1955-07-12
42982,1953-08-07
42998,1953-03-22
43005,1954-04-09
43008,1954-08-15
43013,1953-02-26
43014,1954-07-18
43018,1953-02-11
43021,1955-02-18
43025,1954-03-26
43028,1955-01-29
43035,1952-05-15
43040,1953-01-12
43043,1955-01-12
43044,1952-12-26
43045,1952-12-13
43054,1953-12-12
43058,1955-05-02
43059,1955-11-01
43061,1952-03-22
43065,1953-05-30
43067,1953-11-28
43068,1952-05-29
43073,1955-12-01
43076,1953-03-03
43078,1953-02-11
43079,1952-09-03
43080,1954-12-29
43083,1953-09-15
43084,1953-11-02
43091,1955-06-20
43096,1954-09-02
43097,1955-08-18
43107,1954-04-23
43108,1955-05-21
43110,1954-02-26
43114,1955-03-12
43115,1952-05-28
43124,1955-05-27
43129,1955-06-15
43132,1952-03-31
43136,1952-04-17
43143,1952-03-14
43144,1955-10-10
43157,1955-03-08
43158,1954-03-01
43161,1955-11-27
43166,1954-03-22
43174,1955-05-19
43179,1955-08-28
43181,1953-12-30
43184,1955-10-15
43185,1955-02-23
43186,1954-12-30
43189,1954-07-18
43190,1954-11-16
43192,1952-02-14
43193,1955-12-02
43196,1953-05-01
43198,1954-12-27
43200,1953-02-03
43202,1954-05-19
43203,1954-10-13
43207,1953-08-06
43215,1955-08-19
43217,1952-09-19
43218,1952-03-19
43222,1953-04-12
43224,1954-12-09
43229,1954-10-31
43232,1955-02-10
43241,1954-07-09
43249,1953-04-18
43250,1952-05-15
43252,1952-03-02
43254,1952-11-05
43257,1953-02-17
43261,1953-08-06
43273,1955-09-22
43278,1955-04-12
43281,1952-08-05
43284,1955-06-09
43286,1953-09-14
43289,1954-06-07
43293,1953-08-01
43296,1952-06-17
43300,1954-02-04
43302,1955-09-10
43306,1952-11-09
43307,1952-02-18
43308,1953-12-27
43311,1955-05-16
43313,1955-03-20
43315,1952-10-08
43318,1953-01-31
43323,1954-01-26
43325,1954-01-27
43333,1953-04-07
43337,1953-10-14
43338,1954-05-01
43348,1954-05-05
43353,1953-10-28
43355,1953-10-16
43367,1952-03-12
43370,1955-07-21
43372,1953-10-24
43373,1952-09-03
43386,1952-03-16
43387,1954-09-07
43391,1954-02-17
43392,1955-12-06
43393,1953-02-05
43399,1952-05-30
43403,1955-08-09
43410,1952-09-18
43412,1952-09-15
43419,1955-03-21
43420,1952-08-02
43421,1954-10-19
43423,1952-07-07
43428,1953-03-11
43438,1955-10-12
43441,1952-11-23
43445,1955-02-20
43447,1954-05-06
43448,1953-02-28
43451,1952-04-16
43455,1955-04-30
43461,1954-10-29
43476,1952-08-04
43479,1955-09-10
43481,1953-10-28
43487,1952-11-12
43491,1954-12-23
43493,1955-11-30
43498,1952-07-22
43500,1954-01-11
43501,1954-04-13
43512,1953-01-05
43516,1953-09-25
43520,1955-03-19
43524,1953-10-03
43540,1955-06-24
43545,1955-12-02
43552,1953-09-24
43556,1954-12-06
43573,1954-11-16
43576,1953-10-16
43577,1954-09-04
43580,1955-08-14
43582,1953-01-27
43584,1954-02-26
43589,1955-11-28
43593,1953-01-25
43594,1954-05-17
43605,1953-10-15
43610,1953-04-28
43612,1955-10-03
43616,1953-11-08
43624,1953-11-14
43627,1953-12-07
43642,1955-04-03
43648,1953-04-26
43649,1954-03-29
43652,1955-05-07
43658,1952-04-01
43659,1955-02-13
43660,1952-10-20
43668,1954-09-02
43675,1954-01-08
43678,1954-08-04
43684,1953-06-16
43689,1952-09-04
43691,1953-09-22
43693,1952-10-28
43703,1952-09-09
43708,1954-11-04
43709,1953-11-17
43710,1954-01-20
43720,1953-02-10
43724,1954-01-07
43727,1953-07-05
43732,1955-07-25
43737,1952-02-03
43745,1955-07-30
43748,1953-11-08
43756,1952-08-18
43757,1953-09-26
43762,1954-05-12
43772,1952-09-03
43776,1954-05-10
43780,1952-12-09
43781,1952-06-01
43783,1952-03-13
43789,1955-11-23
43791,1953-10-10
43797,1955-11-07
43805,1953-09-04
43806,1954-08-28
43809,1955-03-11
43814,1954-11-21
43815,1955-07-22
43820,1953-05-17
43843,1955-08-07
43845,1952-02-05
43854,1954-02-21
43861,1952-09-22
43862,1953-05-23
43868,1953-04-01
43878,1955-08-28
43883,1953-10-31
43887,1952-03-26
43898,1953-09-10
43900,1953-05-01
43909,1953-10-09
43912,1954-01-10
43914,1953-12-08
43916,1953-09-29
43917,1952-12-15
43921,1954-07-03
43932,1954-09-18
43941,1953-11-09
43942,1952-07-22
43944,1953-10-06
43945,1952-09-04
43946,1955-11-24
43948,1953-12-27
43950,1955-09-23
43963,1953-07-08
43964,1953-04-29
43965,1952-03-21
43966,1953-09-07
43981,1953-09-05
43982,1953-04-07
43983,1952-06-17
43986,1952-07-25
43989,1955-10-20
43994,1952-04-05
43996,1954-05-12
43997,1954-02-20
43998,1954-03-15
44003,1952-10-29
44011,1955-08-21
44015,1955-11-08
44018,1955-08-18
44022,1955-11-13
44024,1955-05-01
44025,1954-03-06
44029,1955-08-09
44039,1955-11-26
44042,1953-03-10
44043,1954-01-30
44044,1955-11-15
44055,1955-02-09
44056,1952-09-30
44057,1954-11-11
44060,1955-11-19
44062,1953-08-14
44063,1955-09-14
44070,1953-01-11
44071,1952-02-06
44080,1953-12-18
44086,1952-04-21
44087,1953-03-04
44088,1952-10-13
44096,1952-10-02
44097,1955-08-01
44099,1955-01-06
44100,1953-06-26
44104,1955-07-01
44110,1954-08-01
44111,1955-11-22
44117,1954-07-18
44120,1954-06-09
44125,1952-07-26
44130,1952-04-29
44135,1952-12-12
44148,1954-09-21
44154,1953-09-06
44161,1955-05-22
44164,1955-03-12
44165,1953-01-02
44166,1955-12-06
44168,1952-02-14
44178,1952-02-28
44184,1954-03-06
44189,1954-04-03
44192,1955-07-23
44193,1955-04-15
44195,1953-04-01
44197,1955-01-04
44199,1954-07-06
44215,1952-11-29
44216,1954-04-20
44219,1954-05-02
44221,1953-04-05
44223,1952-04-24
44224,1953-01-15
44227,1953-08-24
44229,1955-11-26
44230,1955-08-08
44234,1954-05-10
44235,1954-09-20
44236,1954-12-21
44239,1955-05-02
44240,1955-05-06
44249,1952-05-19
44251,1955-12-21
44253,1955-07-13
44256,1954-10-17
44262,1953-05-22
44274,1952-08-13
44283,1954-06-20
44285,1954-11-16
44287,1954-06-23
44288,1953-03-09
44289,1955-11-09
44292,1952-03-27
44293,1955-05-12
44301,1952-08-15
44304,1953-04-04
44308,1954-02-12
44315,1953-02-08
44318,1954-02-23
44324,1954-04-11
44326,1953-07-31
44339,1954-01-02
44342,1952-10-29
44348,1953-01-01
44352,1952-12-07
44354,1955-03-02
44358,1955-09-30
44360,1953-09-17
44366,1955-03-06
44375,1955-04-10
44380,1954-03-06
44382,1952-08-24
44388,1953-01-06
44390,1954-04-22
44392,1954-08-03
44393,1955-12-14
44394,1952-03-14
44395,1953-05-22
44397,1954-05-14
44400,1955-08-30
44404,1952-05-01
44406,1954-03-08
44411,1952-11-14
44416,1952-09-21
44425,1953-07-30
44429,1953-07-01
44430,1953-08-16
44431,1954-04-18
44435,1953-06-02
44442,1953-08-18
44443,1953-01-01
44445,1953-02-25
44454,1952-04-26
44459,1954-05-09
44465,1955-06-04
44467,1953-07-28
44472,1955-02-13
44476,1954-07-13
44484,1955-07-23
44485,1955-09-08
44490,1954-08-01
44492,1952-02-20
44507,1954-07-17
44519,1953-12-22
44520,1954-02-01
44521,1954-01-04
44525,1953-01-27
44531,1952-08-19
44533,1952-07-11
44539,1955-09-26
44541,1953-05-27
44542,1955-12-06
44545,1953-04-18
44558,1953-05-16
44560,1954-10-07
44561,1954-11-19
44566,1953-04-15
44568,1955-11-21
44569,1953-10-11
44570,1954-06-10
44571,1954-04-01
44575,1953-06-30
44589,1955-04-26
44590,1954-12-13
44591,1955-12-12
44599,1955-08-23
44607,1952-02-20
44608,1955-11-16
44609,1952-12-10
44610,1954-09-08
44614,1953-03-17
44616,1955-03-01
44620,1954-08-06
44630,1953-08-30
44633,1953-12-05
44639,1953-03-19
44644,1953-11-24
44656,1952-08-26
44658,1954-04-14
44661,1953-01-06
44664,1952-08-08
44682,1954-02-16
44683,1954-11-19
44691,1955-12-09
44692,1955-05-02
44695,1954-04-28
44701,1955-11-20
44703,1954-06-26
44708,1955-12-19
44713,1952-12-24
44716,1954-10-29
44721,1954-02-05
44728,1952-05-06
44730,1952-05-20
44733,1953-12-24
44734,1954-05-08
44737,1954-11-15
44739,1954-01-01
44740,1955-10-31
44741,1953-03-08
44750,1955-09-12
44752,1955-06-26
44764,1952-10-04
44771,1954-09-16
44773,1952-05-22
44784,1955-08-16
44785,1952-09-13
44790,1953-06-27
44794,1952-08-03
44801,1952-02-26
44803,1955-04-29
44806,1952-11-07
44809,1955-02-03
44819,1953-12-08
44821,1952-02-19
44827,1955-06-03
44828,1952-10-01
44829,1953-02-14
44833,1952-09-05
44837,1954-09-21
44839,1953-07-17
44842,1952-05-24
44843,1955-02-05
44844,1954-10-09
44854,1954-06-24
44856,1953-01-07
44861,1955-07-14
44862,1952-04-21
44865,1954-09-09
44869,1952-02-22
44870,1952-09-11
44873,1955-12-25
44874,1954-08-26
44875,1953-08-06
44877,1953-04-26
44882,1954-09-11
44883,1953-06-07
44886,1953-10-02
44889,1954-10-13
44891,1954-10-31
44898,1953-04-05
44908,1954-11-26
44911,1952-08-02
44913,1953-06-14
44915,1952-11-09
44924,1953-08-16
44935,1952-08-03
44938,1954-12-25
44939,1954-12-08
44941,1952-06-17
44943,1952-10-27
44952,1952-05-29
44955,1954-11-18
44957,1954-02-15
44963,1953-03-16
44965,1953-03-03
44966,1952-12-11
44973,1954-06-24
44977,1953-11-09
44979,1952-02-05
44984,1955-05-15
44988,1954-11-17
44992,1953-09-16
44996,1953-01-22
44998,1954-04-19
45000,1953-02-04
45002,1952-08-31
45006,1953-05-10
45014,1955-01-23
45015,1953-09-12
